"method","time","items","text","word_length"
"regular",33.1999999880791,870,"try",3
"trie",0.300000011920929,70,"try",3
"regular",41.4000000059605,11527,"ate",3
"trie",0.0999999940395355,48,"ate",3
"regular",10.2000000178814,58,"piu",3
"trie",0.0999999940395355,6,"piu",3
"regular",18.0999999940395,238,"cun",3
"trie",0.200000017881393,75,"cun",3
"regular",14.5,25,"baa",3
"trie",0,21,"baa",3
"regular",11.5,124,"say",3
"trie",0.0999999940395355,23,"say",3
"regular",12.3999999761581,215,"amu",3
"trie",0,45,"amu",3
"regular",13.1999999880791,1318,"tha",3
"trie",0.300000011920929,269,"tha",3
"regular",12.9000000059605,50,"iwa",3
"trie",0,2,"iwa",3
"regular",11.8000000119209,2192,"pol",3
"trie",1.40000000596046,1370,"pol",3
"regular",10.1999999880791,533,"mun",3
"trie",0.0999999940395355,126,"mun",3
"regular",10.1999999880791,1,"clr",3
"trie",0,1,"clr",3
"regular",10.9000000059605,2,"lnr",3
"trie",0,1,"lnr",3
"regular",9.40000000596046,1,"pdq",3
"trie",0,1,"pdq",3
"regular",15.6000000238419,3067,"sub",3
"trie",1.39999997615814,2735,"sub",3
"regular",10.8000000119209,28,"sull",4
"trie",0,20,"sull",4
"regular",8.40000000596046,13,"koda",4
"trie",0.0999999940395355,11,"koda",4
"regular",13,804,"elec",4
"trie",0.300000011920929,485,"elec",4
"regular",8.20000001788139,3,"kmel",4
"trie",0,1,"kmel",4
"regular",11.5,144,"tost",4
"trie",0,10,"tost",4
"regular",8.5,223,"well",4
"trie",0.100000023841858,68,"well",4
"regular",10.9000000059605,57,"lord",4
"trie",0.0999999940395355,28,"lord",4
"regular",8.69999998807907,140,"keep",4
"trie",0,16,"keep",4
"regular",11.3000000119209,48,"roil",4
"trie",0,8,"roil",4
"regular",11.7000000178814,9,"eddo",4
"trie",0,2,"eddo",4
"regular",17.0999999940395,1001,"alit",4
"trie",0.0999999940395355,7,"alit",4
"regular",9.80000001192093,36,"grab",4
"trie",0,23,"grab",4
"regular",8.69999998807907,6,"welk",4
"trie",0,4,"welk",4
"regular",10.5,47,"cans",4
"trie",0.0999999940395355,6,"cans",4
"regular",9.59999999403954,51,"mack",4
"trie",0,23,"mack",4
"regular",10,1,"upupa",5
"trie",0.0999999940395355,1,"upupa",5
"regular",11.2000000178814,2,"ardor",5
"trie",0,2,"ardor",5
"regular",9.30000001192093,4,"manid",5
"trie",0,2,"manid",5
"regular",8.69999998807907,1,"flubs",5
"trie",0,1,"flubs",5
"regular",9.09999999403954,1,"gyppo",5
